SLNo,StyleName,ColorName
0,Metallic Gold-Fiery Coral,Gold
1,Purple Glimmer-Green Gecko,Purple
2,Metallic Gold-Fiery Coral,Gold
3,PUMA Black-Warm White-Gum,White
4,Puma Black-Puma White,White
5,Puma Black-Luminous Pink,Pink
6,Puma Black-Puma White,White
7,Feather Gray-Lime Smash,Gray
8,PUMA Black-PUMA Silver,Black
9,Future Pink-Rose Gold-Frosty Pink,Pink
10,Lavender Alert-Burnt Red-Gum,Red
11,PUMA Black-PUMA Gold-Ash Gray,Black
12,Fluro Green Pes-PUMA Green-Fluro Yellow Pes,Green
13,Puma White-Puma Silver,White
14,Icy Blue-PUMA White,White
15,Puma Black-Puma Black,Black
16,Puma Black-Puma Black,Black
17,Puma Black-Asphalt,Black
18,Puma White-Puma Black,Black
19,Speed Blue-Lime Pow-Gum,Blue
20,Puma Black-Puma Black-Puma White-Puma Team Gold,Black
21,Myrtle-Fall Foliage,Gray
22,Peacoat-Puma White,White
23,PUMA Black-PUMA White,Black
24,PUMA White-Rosso Corsa,White
25,Flat Medium Gray-Pop Red-PUMA Black,Black
26,Rosso Corsa-PUMA Black,Red
27,PUMA Black-PUMA Black,Black
28,PUMA Black-PUMA White,White
29,PUMA White,White
30,PUMA White-Frosted Ivory-Puma Team Gold,White
31,Chocolate Chip-Alpine Snow-Hot Heat,Black
32,PUMA White-PUMA Silver-Cherry Tomato,White
33,Puma Black-Puma Silver,Black
34,Peacoat-Puma White-Puma Team Gold,White
35,Puma White-Puma White-Puma Black,White
36,PUMA Black-Warm White-Gum,Black
37,PUMA White-Rose Dust,White
38,PUMA Black-Concrete Gray,Gray
39,Puma Black-Puma Silver,Silver
40,PUMA White-Peach Smoothie-Flaxen,White
41,PUMA White-Bold Blue-Electric Blush,Blue
42,Day Dream-Evening Sky-PUMA White,White
43,PUMA Black-PUMA White,Black
44,Puma Black-CASTLEROCK,Black
45,Forest Night-Puma White-Puma Team Gold,Gold
46,PUMA Black-Cool Dark Gray,Black
47,Feather Gray-Warm White,White
48,Puma Black-Rose Gold,Gold
49,Puma Black-Puma Black-Gum,Black
50,Puma Black-Puma Black,Black
51,Persian Blue-Persian Blue,Blue
52,Ash Gray-Ash Gray,Gray
53,Dark Myrtle,Black
54,For All Time Red-PUMA Black,Black
55,PUMA White-Puma Team Gold,Gold
56,Ash Gray-Ash Gray,Gray
57,Puma Black-Puma White,White
58,Hot Heat-Frosted Ivory,White
59,Puma White-Puma Black-Puma Silver,Silver
60,Myrtle-Myrtle-PUMA Black,Black
61,PUMA Navy-PUMA White-PUMA Silver,Silver
62,PUMA Black-PUMA Black,Black
63,PUMA Black-PUMA Black-PUMA Silver,Silver
64,Asphalt-Asphalt-Puma Team Gold,Gold
65,PUMA White,White
66,PUMA Navy-Fizzy Lime,Lime
67,Puma White-Puma White-Gum,White
68,Puma White-Silver,Silver
69,Puma Black-Puma White-High Risk Red,Red
70,Puma Black-Puma White,White
71,Passionfruit-PUMA Green-Peach Fizz,Green
72,For All Time Red-Ultra Blue,Red
73,Puma Black-Puma White-Puma Team Gold,Black
74,PUMA White-PUMA Black,Black
75,PUMA White-Ultra Blue,White
76,Puma White-Puma White,White
77,Puma White-Puma Team Gold-Gray Violet,Gray
78,Pristine-PUMA Gold,Gold
79,Puma White-Puma White,White
80,PUMA Black-Yellow Blaze-Strawberry Burst,Black
81,High Risk Red-Puma White,White
82,Ash Gray-PUMA White-PUMA Silver,Silver
83,For All Time Red-Ultra Blue,Blue
84,PUMA Black-Koral Ice,Black
85,PUMA White-Fire Orchid,White
86,Deep Lichen Green-Dark Olive,Green

