SLNo,NoOfColor,Review,StarRating
0,1,18,94
1,1,77,81
2,1,4,94
3,3,6,90
4,3,2,60
5,1,4,92
6,9,84,80
7,1,10,60
8,2,5,100
9,2,10,85
10,3,6,90
11,1,26,92
12,1,8,80
13,2,162,90
14,6,33,83
15,4,84,76
16,2,2,80
17,3,2,60
18,3,6,90
19,2,23,80
20,9,11,80
21,1,84,82
22,2,10,88
23,1,3,40
24,1,8,0
25,1,138,0
26,2,11,0
27,1,137,60
28,1,2,0
29,1,7,100
30,1,17,75
31,1,2,0
32,2,44,85
33,5,17,65
34,2,11,80
35,3,7,100
36,1,6,0
37,1,136,90
38,3,136,85
39,1,49,60
40,5,2,62
41,3,179,90
42,2,4,82
43,2,138,0
44,1,64,0
45,5,10,65
46,2,2,0
47,1,61,80
48,1,3,80
49,5,136,82
50,5,2,82
51,1,137,0
52,1,162,0
53,9,11,82
54,2,179,90
55,3,80,0
56,1,2,90
57,1,26,0
58,3,37,80
59,1,1,40
60,2,84,85
61,2,44,95
62,1,44,90
63,2,11,100
64,1,29,83
65,1,10,79
66,1,23,0
67,2,2,0
68,5,84,82
69,2,1,100
70,6,26,82
71,1,80,0
72,2,49,0
73,5,19,65
74,3,11,80
75,2,22,0
76,1,8,90
77,2,7,100
78,1,2,100
79,2,60,0
80,3,2,90
81,3,37,90
82,2,7,0
83,2,1,90
84,1,5,80
85,2,8,79
86,2,12,95
